diamond_tag,primal_a,primal_b,center_x,center_y,center_z,grad_x,grad_y,grad_z,error_to_exact_surface_gradient
358,89,110,-0.6855802744309405,-0.6813435929929073,0.2304527702746281,0.7798807654188917,-0.6308209213956407,0.4545404216433576,0.03140038705759068
359,89,111,-0.7831224089023268,-0.5791751074685925,0.19670619684626633,0.4283667845187995,-0.357379504867871,0.6513790103639554,0.015165715838676274
360,89,115,-0.8209485005708756,-0.5549697248941807,0.06986988884861134,0.2717655788351524,-0.24504119989101908,1.2190994069829186,0.02503655262331405
361,89,155,-0.7684280316773532,-0.6296534377152376,-0.023231275399357466,0.4060344379064239,-0.5399425736929695,1.3748972140240352,0.05375626970223109
362,90,101,-0.43575052808271386,0.21311097440964827,-0.8675207138299703,1.1321815810841214,0.5728680645736799,-0.4231416165433748,0.014397361143670448
363,90,105,-0.4378014100358352,0.06262582537720376,-0.8912588699580448,1.1232132115584725,0.18642471524355453,-0.5349677374777208,0.023864459579701933
364,90,116,-0.5186943882523363,-0.025764885359027587,-0.8474272183038768,0.6292693422760177,-0.07567975185603658,-0.3806759258548185,0.01782712848814432
365,90,156,-0.5980753253059548,0.034892656693057064,-0.7945596318906849,0.26809955093878635,0.11305084747238045,-0.19419658511908985,0.050823978267878094
366,91,99,-0.5950682510818979,0.7805185160416683,-0.1536541316149251,0.7620031683247133,0.8406650750438269,1.3550648661678206,0.06668892087836129
367,91,112,-0.5234249304368186,0.8424282160632949,-0.04623106828286247,0.8653838216641211,0.6154567834318487,1.3767798934728013,0.07491106800191061
368,91,150,-0.3573488375767002,0.9021706033977828,-0.2153058192458718,0.16272837700489104,0.3575820271536228,1.2162677907716777,0.02970497710732072
369,91,182,-0.4167216634357527,0.8983228669400554,-0.09779542283321854,0.4474725680994396,0.3755978111966483,1.4491363855547827,0.02116502078283414
370,92,96,-0.30647905394097724,0.7969781807711449,0.5063858991999425,0.2839878845564554,0.803231950652857,-1.0877068740009415,0.06396977176953186
371,92,113,-0.31840672882425597,0.7053320031540025,0.6216578533648998,0.3435147241182529,1.322970499941818,-1.3231020739590895,0.05888688620679396
372,92,114,-0.1978904932796386,0.6790993421772794,0.6973556559350262,0.43780089747253914,1.252006196280199,-1.0830196084958268,0.06105909006155303
373,92,143,-0.08496057355270865,0.7488822288995494,0.6495140830744943,0.16779475146282968,0.8175670743208645,-0.9211881567442014,0.018736310390148742
374,93,94,0.4137673366934769,-0.7686512952649576,0.4743927630092786,0.7140602185075091,0.5876281402873434,0.3343159607268885,0.012443326803202173
375,93,95,0.20954908924179638,-0.7054521677376374,0.6659607024446024,0.7137989570006208,0.04070601161669046,-0.1857582925431243,0.018106067604123977
376,93,98,0.4354994348903952,-0.6815017523400875,0.5772962750352002,0.877376257311692,0.6338176628416039,0.0953482172672536,0.06839080187126376
377,93,145,0.3431738704472477,-0.6300829685091742,0.6836280588436874,1.055615768867036,0.5201772655003639,-0.0515455355823754,0.02095805695261944
378,94,98,0.5271793167754306,-0.6979891709324124,0.4730577450094947,0.837749940609961,0.852147888998151,0.33093536078718994,0.024774270642305283
379,94,106,0.6098933175462776,-0.6914372531861284,0.37191233009441815,0.6526432064900187,0.910316371296518,0.6247380993398757,0.056619349406696245
380,94,107,0.5825852948518737,-0.7618096296322701,0.2608711730759166,0.7516266525599876,0.930237348929513,1.0401821540245546,0.015577930177082679
381,94,151,0.4684791076058676,-0.8374291061891763,0.2592945559658601,0.6298423137506722,0.690933120086588,1.0847566134365636,0.02642130172215177
382,95,97,-0.041453676030013174,-0.6993828056879765,0.7032224594594452,0.4786901234531272,-0.7895455468079079,-0.757025223029725,0.03934468504858069
383,95,120,-0.015321655834499511,-0.5969858370443966,0.7941829565374223,1.0521792045924563,-0.754443536350472,-0.5462515008266001,0.025714529102661577
384,95,121,0.11387548930956158,-0.5595549972600764,0.8147113545044773,1.404607080627874,-0.16597225696933232,-0.3184669491633577,0.04741285399542857
385,95,145,0.2336456822459076,-0.5864069432705769,0.7650837107184483,1.2088515805089206,0.25573792098859854,-0.1874394245782943,0.03241359358595537
386,96,112,-0.4883557937743417,0.8226412456278045,0.26137486193071147,0.8758622644498308,0.4603150615565262,0.2031986224118632,0.006972970760268132
387,96,113,-0.43078892274050723,0.7265949302288732,0.5209812957086801,0.51180373396644,1.180178487891546,-1.1990992706424055,0.03179130288965831
388,96,164,-0.5265522312955474,0.7482122955444265,0.38639018625519483,0.7539221743223486,0.8232869285914788,-0.5605883363978819,0.05552705003424417
389,96,171,-0.3760402856158283,0.8748950659384216,0.2846783755357675,0.49557930080415824,0.2151624972487033,0.009348167632490578,0.07513290949480654
390,97,117,-0.2932265464240878,-0.7821554184891313,0.5342081118743898,0.29326613681543867,-0.8980993964216957,-1.1355513366175085,0.1000121456560918
391,97,120,-0.1469118483055927,-0.6276339784361487,0.7557798595491146,0.7358323966819984,-1.2216382280305522,-0.8858769177682062,0.02227599498928553
392,97,124,-0.3352560339555581,-0.6912713049905358,0.6281319517481714,0.3791780215301552,-1.3983896651751149,-1.362975014241538,0.037681059933614015
393,97,177,-0.2653451428326607,-0.6337002621344421,0.7185477660829169,0.5214301095065106,-1.473362308443983,-1.1387311590694558,0.07628018930269449
394,97,181,-0.17446868903427806,-0.8167004081336942,0.539454685956798,-0.1188408360434762,-0.6689114044363594,-1.0220401421426646,0.01907247778626956
395,98,106,0.6216114310158963,-0.6117512689517671,0.47774861066639185,0.6150745079125659,0.8513738425271867,0.2785726045309425,0.04751277523824211
396,98,145,0.4657263469732268,-0.5647405038314444,0.6699635666120933,1.0330265456086534,0.746442279014456,-0.07951362537882711,0.03643372877697468
397,98,175,0.5927993396804898,-0.5286789165825876,0.5983560060544224,0.6920215868433496,0.7664189522804672,-0.021690842251856468,0.03652266084825451
398,99,112,-0.6320200302614913,0.7652157823586025,-0.014026377815208256,0.8642149002064293,0.7281100568848315,1.3745497101043904,0.0656921439241185
399,99,161,-0.7507395275541597,0.6130533081922817,-0.22039169928444696,0.2571013546634521,0.7238724756411554,1.1268886780970018,0.019143121707901306
400,99,165,-0.7340501161090505,0.6705107899516507,-0.0015468227667700144,0.6156694706038582,0.6645779662680541,1.3673625329638122,0.04177823646464312
401,99,183,-0.7795133530539078,0.6102793317695254,-0.10320765680398857,0.27421801163390136,0.5833885600873001,1.3881030965460517,0.025613513627630265
402,100,149,-0.04835046644241309,0.9877669455556749,-0.09086610184223634,-1.1448896053642106,0.05238839513361996,1.272486049472582,0.07482037766843307
403,100,150,-0.1754492034073663,0.9720526163749827,-0.10221684981371706,-0.8132462157967645,-0.002925378831233366,1.3459223425307127,0.03611344639027968
404,100,170,0.010965761429892681,0.9939873984607157,0.021916217822006347,-1.1755465850347904,-0.031763329579482566,1.368500861924881,0.07653580661741553
