diamond_tag,primal_a,primal_b,face_k,face_l
470,102,218,64,169
471,103,104,410,417
472,103,156,200,410
473,103,157,402,412
474,103,214,200,412
475,104,105,429,438
476,104,106,172,438
477,104,156,82,410
478,104,209,82,172
479,105,106,438,439
480,105,107,413,439
